Address	Length	Type	String
.rdata:0000000142DA6B28	00000023	C	CRYPT_E_NOT_IN_REVOCATION_DATABASE
.rdata:0000000142DA6B50	00000019	C	SEC_E_ALGORITHM_MISMATCH
.rdata:0000000142DA6B70	00000013	C	SEC_E_BAD_BINDINGS
.rdata:0000000142DA6B88	00000010	C	SEC_E_BAD_PKGID
.rdata:0000000142DA6B98	00000017	C	SEC_E_BUFFER_TOO_SMALL
.rdata:0000000142DA6BB0	00000015	C	SEC_E_CANNOT_INSTALL
.rdata:0000000142DA6BC8	00000012	C	SEC_E_CANNOT_PACK
.rdata:0000000142DA6BE0	00000013	C	SEC_E_CERT_EXPIRED
.rdata:0000000142DA6BF8	00000013	C	SEC_E_CERT_UNKNOWN
.rdata:0000000142DA6C10	00000017	C	SEC_E_CERT_WRONG_USAGE
.rdata:0000000142DA6C28	00000016	C	SEC_E_CONTEXT_EXPIRED
.rdata:0000000142DA6C40	00000024	C	SEC_E_CROSSREALM_DELEGATION_FAILURE
.rdata:0000000142DA6C68	0000001C	C	SEC_E_CRYPTO_SYSTEM_INVALID
.rdata:0000000142DA6C88	00000016	C	SEC_E_DECRYPT_FAILURE
.rdata:0000000142DA6CA0	00000018	C	SEC_E_DELEGATION_POLICY
.rdata:0000000142DA6CB8	0000001A	C	SEC_E_DELEGATION_REQUIRED
.rdata:0000000142DA6CD8	00000019	C	SEC_E_DOWNGRADE_DETECTED
.rdata:0000000142DA6CF8	00000016	C	SEC_E_ENCRYPT_FAILURE
.rdata:0000000142DA6D10	0000001D	C	SEC_E_INCOMPLETE_CREDENTIALS
.rdata:0000000142DA6D30	00000019	C	SEC_E_INCOMPLETE_MESSAGE
.rdata:0000000142DA6D50	0000001A	C	SEC_E_INSUFFICIENT_MEMORY
.rdata:0000000142DA6D70	00000015	C	SEC_E_INTERNAL_ERROR
.rdata:0000000142DA6D88	00000015	C	SEC_E_INVALID_HANDLE
.rdata:0000000142DA6DA0	00000018	C	SEC_E_INVALID_PARAMETER
.rdata:0000000142DA6DB8	00000014	C	SEC_E_INVALID_TOKEN
.rdata:0000000142DA6DD0	0000001B	C	SEC_E_ISSUING_CA_UNTRUSTED
.rdata:0000000142DA6DF0	0000001F	C	SEC_E_ISSUING_CA_UNTRUSTED_KDC
.rdata:0000000142DA6E10	00000017	C	SEC_E_KDC_CERT_EXPIRED
.rdata:0000000142DA6E28	00000017	C	SEC_E_KDC_CERT_REVOKED
.rdata:0000000142DA6E40	0000001A	C	SEC_E_KDC_INVALID_REQUEST
.rdata:0000000142DA6E60	0000001A	C	SEC_E_KDC_UNABLE_TO_REFER
.rdata:0000000142DA6E80	00000018	C	SEC_E_KDC_UNKNOWN_ETYPE
.rdata:0000000142DA6E98	00000013	C	SEC_E_LOGON_DENIED
.rdata:0000000142DA6EB0	0000001D	C	SEC_E_MAX_REFERRALS_EXCEEDED
.rdata:0000000142DA6ED0	00000016	C	SEC_E_MESSAGE_ALTERED
.rdata:0000000142DA6EE8	00000018	C	SEC_E_MULTIPLE_ACCOUNTS
.rdata:0000000142DA6F00	00000012	C	SEC_E_MUST_BE_KDC
.rdata:0000000142DA6F18	00000010	C	SEC_E_NOT_OWNER
.rdata:0000000142DA6F28	00000022	C	SEC_E_NO_AUTHENTICATING_AUTHORITY
.rdata:0000000142DA6F50	00000015	C	SEC_E_NO_CREDENTIALS
.rdata:0000000142DA6F68	00000017	C	SEC_E_NO_IMPERSONATION
.rdata:0000000142DA6F80	00000016	C	SEC_E_NO_IP_ADDRESSES
.rdata:0000000142DA6F98	00000012	C	SEC_E_NO_KERB_KEY
